編號,機構名稱,機構地址,行政區,行政區碼,106年,107年,108年,109年,110年,111年,center_longitude,center_latitudes,locality_ids,locality_texts
76,臺北市私立夏莉絲托嬰中心,台北市大安區信義路二段44巷12號,大安區,63000030,,,,,乙,,121.525611,25.0338381,locality.63654631,大安區
77,臺北市私立萌語大安托嬰中心,台北市大安區安和路一段112巷22號,大安區,63000030,,,,甲,,,121.5515391,25.0339,locality.63654631,大安區
78,臺北市私立小樹屋托嬰中心,台北市大安區樂業街188號1樓,大安區,63000030,,,,,,乙,121.553438,25.019718,locality.63654631,大安區
79,臺北市私立小育龍托嬰中心,台北市萬華區萬大路61號,萬華區,63000070,,,甲,,,甲,121.500582,25.031146,locality.63679207,萬華區
80,臺北市私立安馨托嬰中心,台北市萬華區中華路二段364巷13號,萬華區,63000070,通過,,,甲,,,121.4942257,25.0259848,locality.63679207,萬華區
81,臺北市小育龍莒光托嬰中心,台北市萬華區莒光路239號,萬華區,63000070,,,甲,,,甲,121.500694,25.031148,locality.63679207,萬華區
82,臺北市私立瑞吉歐托嬰中心,台北市萬華區中華路二段364巷17號,萬華區,63000070,,,,,,甲,121.4942257,25.0259848,locality.63679207,萬華區
83,臺北市私立安馨寶貝托嬰中心,台北市萬華區中華路二段364巷13號,萬華區,63000070,,,,,,甲,121.4942257,25.0259848,locality.63679207,萬華區
84,臺北市私立咕咕園信義托嬰中心,臺北市信義區松智路35號,信義區,63000020,,,乙,,,丙(輔導通過),121.565374,25.030545,locality.63605479,信義區
85,臺北市私立薇薇安娃娃國托嬰中心,台北市信義區忠孝東路五段236巷3弄29號,信義區,63000020,,,乙,,,乙,121.573595,25.040376,locality.63605479,信義區
86,臺北市私立薇薇安娃娃國信義園托嬰中心,台北市信義區忠孝東路五段236巷37弄33號,信義區,63000020,,通過,,,乙,,121.5727632,25.0380867,locality.63605479,信義區
87,臺北市私立信義小太陽托嬰中心,台北市信義區中坡南路98巷2號,信義區,63000020,,,乙,,,乙,121.584621,25.0414931,locality.63605479,信義區
88,臺北市私立維多利亞托嬰中心,台北市信義區松勤街132號,信義區,63000020,,,乙,,,甲,121.56586,25.031956,locality.63605479,信義區
89,臺北市私立薇薇安娃娃國興雅園托嬰中心,台北市信義區忠孝東路五段236巷3弄29號,信義區,63000020,,,,,乙,,121.573595,25.040376,locality.63605479,信義區
90,臺北市私立薇薇安娃娃國松德園托嬰中心,台北市信義區松德路180巷11號,信義區,63000020,,,,,乙,,121.5735288,25.035649,locality.63605479,信義區
91,臺北市私立柚子樹托嬰中心,台北市信義區信義路六段36號,信義區,63000020,,,,,,乙,121.575749,25.034546,locality.63605479,信義區
92,臺北市私立怡寶優質托嬰中心,台北市士林區文林路740巷9弄24號,士林區,63000110,甲,,,優,,,121.5207081,25.1034845,locality.63638247,士林區
93,臺北市私立怡寶托嬰中心,臺北市士林區文林路740巷11號,士林區,63000110,甲,,,甲,,,121.520831,25.103239,locality.63638247,士林區
94,臺北市私立怡寶資優托嬰中心,臺北市士林區文林路740巷11號,士林區,63000110,,,優,,,優,121.520831,25.103239,locality.63638247,士林區
