NUMBER,DISTRICT,K_NAME,K_TEL,K_ADDR,E_NUMBER
28,大安區,臺北市大安區仁愛國民小學附設幼兒園,(02)27095010#509,[106]臺北市大安區敦安里6鄰安和路一段60號1樓,120
29,大安區,臺北市大安區銘傳國民小學附設幼兒園,(02)23639815#20,[106]臺北市大安區學府里17鄰羅斯褔路四段21號,60
30,大安區,臺北市大安區公館國民小學附設幼兒園,(02)27351734#271,[106]臺北市大安區學府里5鄰基隆路四段41巷68弄2號1樓至2樓,90
31,中山區,臺北市中山區中山國民小學附設幼兒園,(02)25914085#52,[104]臺北市中山區恆安里15鄰民權東路一段69號,180
32,中山區,臺北市立中山幼兒園,(02)25336738,[104]臺北市中山區大直里21鄰大直街25號1、2樓,270
33,中山區,臺北市中山區大直國民小學附設幼兒園,(02)25336733#13,[104]臺北市中山區大直里28鄰大直街2號,106
34,中山區,臺北市中山區永安國民小學附設幼兒園,(02)25335672#270,[104]臺北市中山區永安里32鄰明水路397巷19弄1號,150
35,中山區,臺北市中山區大佳國民小學附設幼兒園,(02)25059744,[104]臺北市中山區大佳里6鄰濱江街107號2樓,60
36,中山區,臺北市中山區五常國民小學附設幼兒園,(02)25023416#114,[104]臺北市中山區行仁里6鄰五常街16號,226
37,中山區,臺北市中山區吉林國民小學附設幼兒園,(02)25221525#10,[104]臺北市中山區中原里6鄰長春路116號,174
38,中山區,臺北市中山區長安國民小學附設幼兒園,(02)25617600#170,[104]臺北市中山區興亞里16鄰吉林路15號,136
39,中山區,臺北市中山區長春國民小學附設幼兒園,(02)25024366#184,[104]臺北市中山區中央里1鄰長春路165號,120
40,中山區,臺北市中山區懷生國民小學附設幼兒園,(02)27710846#903,[104]臺北市中山區埤頭里11鄰安東街16巷2號,30
41,中山區,臺北市中山區中正國民小學附設幼兒園,(02)25063653#174,[104]臺北市中山區力行里27鄰龍江路62號,136
42,中山區,臺北市立育航幼兒園,(02)25178372#210,[104]臺北市中山區復華里18鄰長春路256號,278
43,中山區,臺北市中山區濱江國民小學附設幼兒園,(02)85021571#1500,[104]臺北市中山區金泰里13鄰樂群2路266巷99號,182
44,中正區,臺北市中正區河堤國民小學附設幼兒園,(02)23677144#875,[100]臺北市中正區河堤里2鄰汀州路二段180號1樓,120
45,中正區,臺北市中正區螢橋國民小學附設幼兒園,(02)23048543#22,[100]臺北市中正區螢雪里9鄰詔安街29號1樓,144
46,中正區,臺北市中正區忠義國民小學附設幼兒園,(02)23035882,[100]臺北市中正區忠勤里1鄰中華路二段307巷17號1樓,60
47,中正區,臺北市中正區國語實驗國民小學附設幼兒園,(02)23118126#19,[100]臺北市中正區南門里10鄰重慶南路二段14之4號1樓至2樓,180
48,中正區,臺北市中正區南門國民小學附設幼兒園,(02)23715052#801,[100]臺北市中正區南門里14鄰廣州街6號,60
49,中正區,臺北市立大學附設實驗國民小學附設幼兒園,(02)23117991,[100]臺北市中正區建國里4鄰公園路29號1樓,196
50,中正區,臺北市中正區忠孝國民小學附設幼兒園,(02)23918170#833,[100]臺北市中正區幸市里2鄰忠孝東路二段101號1樓,60
51,中正區,臺北市立中正幼兒園,(02)23933620,[100]臺北市中正區幸市里8鄰濟南路二段46號2樓,150
52,中正區,臺北市中正區東門國民小學附設幼兒園,(02)23412051#36,[100]臺北市中正區東門里16鄰仁愛路一段2之4號,150
53,大同區,臺北市立大同幼兒園,(02)25595901,[103]臺北市大同區建泰里5鄰南京西路64巷9弄8號,180
54,大同區,臺北市大同區日新國民小學附設幼兒園,(02)25584819#512,[103]臺北市大同區星明里12鄰太原路151號,150
55,大同區,臺北市大同區蓬萊國民小學附設幼兒園,(02)25569835#120,[103]臺北市大同區星明里7鄰寧夏路35號,98
56,大同區,臺北市大同區太平國民小學附設幼兒園,(02)25532229#873,[103]臺北市大同區南芳里2鄰延平北路二段239號,152
57,大同區,臺北市大同區永樂國民小學附設幼兒園,(02)25534882#115,[103]臺北市大同區南芳里8鄰延平北路二段266號,182
58,大同區,臺北市大同區雙蓮國民小學附設幼兒園,(02)25570309#1902,[103]臺北市大同區民權里16鄰錦西街51號,150
59,大同區,臺北市大同區大橋國民小學附設幼兒園,(02)25944413#161,[103]臺北市大同區隆和里4鄰重慶北路三段2號,106
60,大同區,臺北市大同區大同國民小學附設幼兒園,(02)25965407#171,[103]臺北市大同區蓬萊里13鄰大龍街51號,120
61,大同區,臺北市大同區延平國民小學附設幼兒園,(02)25942439#281,[103]臺北市大同區國慶里18鄰昌吉街97號,120
62,大同區,臺北市大同區大龍國民小學附設幼兒園,(02)25942635#878,[103]臺北市大同區保安里10鄰哈密街47號,166
63,萬華區,臺北市萬華區福星國民小學附設幼兒園,(02)23144668#172,[108]臺北市萬華區福星里6鄰中華路一段66號,150
64,萬華區,臺北市萬華區西門國民小學附設幼兒園,(02)23753272#2103,[108]臺北市萬華區西門里6鄰成都路98號,166
65,萬華區,臺北市萬華區龍山國民小學附設幼兒園,(02)23082977#771,[108]臺北市萬華區青山里20鄰和平西路3段235號,114
66,萬華區,臺北市立萬華幼兒園,(02)23020936,[108]臺北市萬華區青山里14鄰梧州街36號、36號2樓之1,150
67,萬華區,臺北市萬華區老松國民小學附設幼兒園,(02)23069908,[108]臺北市萬華區福音里12鄰桂林路64號,136
68,萬華區,臺北市立南海實驗幼兒園,(02)23022984,[108]臺北市萬華區雙園里18鄰西藏路424號,346
69,萬華區,臺北市萬華區雙園國民小學附設幼兒園,(02)23083511,[108]臺北市萬華區雙園里16鄰莒光路315號,106
70,萬華區,臺北市萬華區大理國民小學附設幼兒園,(02)23022011#11,[108]臺北市萬華區和平里8鄰艋舺大道389號,136
71,萬華區,臺北市萬華區華江國民小學附設幼兒園,(02)23064352#800,[108]臺北市萬華區華江里17鄰環河南路2段250巷42弄2號,120
72,萬華區,臺北市萬華區西園國民小學附設幼兒園,(02)23030257#513,[108]臺北市萬華區日善里4鄰東園街73巷65號,136
73,萬華區,臺北市萬華區新和國民小學附設幼兒園,(02)23038298#58,[108]臺北市萬華區新安里13鄰西藏路125巷31號,120
74,萬華區,臺北市萬華區萬大國民小學附設幼兒園,(02)23037654#711,[108]臺北市萬華區全德里4鄰萬大路346號,90
75,萬華區,臺北市萬華區東園國民小學附設幼兒園,(02)23034803#1801,[108]臺北市萬華區全德里1鄰東園街195號,106
76,文山區,臺北市文山區景美國民小學附設幼兒園,(02)29322151#280,[116]臺北市文山區景行里4鄰景文街108號,128
77,文山區,臺北市文山區溪口國民小學附設幼兒園,(02)29350955#760,[116]臺北市文山區景慶里5鄰景福街225號,136
78,文山區,臺北市文山區志清國民小學附設幼兒園,(02)29323875#572,[116]臺北市文山區景仁里10鄰景福街21巷5號,90
79,文山區,臺北市文山區武功國民小學附設幼兒園,(02)29314360#22,[116]臺北市文山區萬祥里1鄰興隆路一段68號,120
80,文山區,臺北市文山區萬福國民小學附設幼兒園,(02)29353123#171,[116]臺北市文山區萬年里10鄰羅斯福路5段170巷32號,136
81,文山區,臺北市文山區興德國民小學附設幼兒園,(02)29329431#65,[116]臺北市文山區興豐里25鄰興隆路2段235號,30
82,文山區,臺北市文山區興華國民小學附設幼兒園,(02)22393070#170,[116]臺北市文山區興光里8鄰興隆路3段125巷6號,106
83,文山區,臺北市文山區景興國民小學附設幼兒園,(02)29329439#781,[116]臺北市文山區興安里21鄰景華街150巷21號,136
84,文山區,臺北市文山區興隆國民小學附設幼兒園,(02)29323131#115,[116]臺北市文山區興旺里1鄰福興路2號,166
85,文山區,臺北市文山區辛亥國民小學附設幼兒園,(02)89321312,[116]臺北市文山區興昌里7鄰辛亥路4段103號,76
