編號,機構名稱,機構地址,行政區,行政區碼,106年,107年,108年,109年,110年,111年
144,臺北市私立拉斐爾甜心托嬰中心,台北市南港區經貿二路231號,南港區,63000090,,,甲,,,丙(輔導不通過)
145,臺北市私立拉斐爾微笑托嬰中心,台北市南港區興中路68巷6號,南港區,63000090,,,,,乙,
146,臺北市私立愛寶貝南港園托嬰中心,臺北市南港區三重里南港路1段2巷27號,南港區,63000090,,,,,甲,
147,臺北市私立荳寶托嬰中心,台北市南港區興南街50號及52巷1號,南港區,63000090,,,,,甲,
148,臺北市私立育德興隆托嬰中心,台北市文山區興隆路二段61巷6號,文山區,63000080,,,乙,,,甲
149,臺北市私立勁寶兒公館托嬰中心,台北市文山區萬盛街42號,文山區,63000080,甲,,,甲,,
150,臺北市私立芳馨園木柵托嬰中心,台北市文山區久康街24巷36號,文山區,63000080,,,乙,,,甲
151,臺北市私立幸福家托嬰中心,台北市文山區新光路一段31巷1號,文山區,63000080,,,乙,,,乙
152,臺北市私立馥葆托嬰中心,台北市文山區木新路二段161巷24弄2號,文山區,63000080,,通過,,,乙,
153,臺北市私立愛兒福托嬰中心,台北市文山區辛亥路四段252巷8號,文山區,63000080,,通過,,,甲,
154,臺北市私立樂娃兒托嬰中心,台北市文山區羅斯福路六段159巷1弄18號,文山區,63000080,,,,甲,,
155,臺北市私立陽光夥伴托嬰中心,台北市文山區保儀路62號,文山區,63000080,,,,,乙,
156,臺北市私立樂萌兒托嬰中心,台北市文山區木新路二段11號,文山區,63000080,,,,,甲,
157,臺北市私立滬江高級中學附設員工子女托嬰中心,台北市文山區羅斯福路六段336號,文山區,63000080,,,,,,甲
158,中山托嬰中心,台北市中山區林森北路511號,中山區,63000040,,,優等,,,優等
159,北投托嬰中心,台北市北投區光明路22號,北投區,63000120,優等,,,優等,,
160,大同托嬰中心,台北市大同區重慶北路三段120巷2號,大同區,63000060,,,甲等,,,優等
161,萬華托嬰中心,台北市萬華區成都路98號,萬華區,63000070,,優等,,,優等,
162,文山托嬰中心,台北市文山區木柵路一段177號,文山區,63000080,,優等,,,優等,
163,大安托嬰中心,台北市大安區羅斯福路四段21號,大安區,63000030,甲等,,,優等,,
164,中正托嬰中心,台北市中正區詔安街29號,中正區,63000050,優等,,,優等,,
165,信義托嬰中心,台北市信義區基隆路二段99號,信義區,63000020,優等,,,優等,,
166,南港托嬰中心,台北市南港區東新街65號,南港區,63000090,優等,,,優等,,
167,松山托嬰中心,台北市松山區健康路323號,松山區,63000010,優等,,,優等,,
168,士林托嬰中心,台北市士林區基河路130號,士林區,63000110,,優等,,,優等,
169,內湖托嬰中心,台北市內湖區內湖路一段659號,內湖區,63000100,,優等,,,優等,
170,景美托嬰中心,臺北市文山區羅斯福路6段455巷28號,文山區,63000080,,,甲等,,,優等
171,大湖托嬰中心,台北市內湖區大湖山莊街170號,內湖區,63000100,,,優等,,,優等
172,萬大托嬰中心,台北市萬華區西藏路199巷,萬華區,63000070,,,甲等,,,優等
173,關渡托嬰中心,台北市北投區知行路212號2樓,北投區,63000120,,,甲等,,,優等
174,新生托嬰中心,台北市中正區新生南路一段54巷5弄2號,中正區,63000050,,,,甲等,,
175,西湖托嬰中心,台北市內湖區環山路一段25號,內湖區,63000100,,,,優等,,
176,健康托嬰中心,台北市松山區健康路323號,松山區,63000010,,,,甲等,,
177,興隆托嬰中心,台北市文山區興隆路四段105巷49號,文山區,63000080,,,,甲等,,
178,青年托嬰中心,台北市萬華區青年路188之1號,萬華區,63000070,,,,,優等,
179,東明托嬰中心,台北市南港區南港路二段60巷17號,南港區,63000090,,,,,,優等
180,臺北市雙園社區公共托育家園,台北市萬華區寶興街12號,萬華區,63000070,,通過,甲,,,甲
181,臺北市舊莊社區公共托育家園,台北市南港區舊莊街一段100號,南港區,63000090,,通過,甲,,,甲
182,臺北市私立市政大樓員工子女社區公共托育家園,台北市北投區中央北路一段73號,信義區,63000020,,通過,,,甲,
183,臺北市興華社區公共托育家園,台北市文山區興隆路三段125巷6號,文山區,63000080,,通過,甲,,,甲
184,臺北市吉林社區公共托育家園,台北市中山區吉林路110號,中山區,63000040,,通過,,,優,
185,臺北市日善社區公共托育家園,台北市萬華區東園街19號,萬華區,63000070,,通過,,,乙,
186,臺北市芝山社區公共托育家園,台北市士林區德行東路285號,士林區,63000110,,通過,,,甲,
187,臺北市成功社區公共托育家園,台北市大安區四維路198巷38弄10號,大安區,63000030,,,甲,,,優
188,臺北市大龍社區公共托育家園,台北市大同區哈密街47號,大同區,63000060,,,甲,,,優
189,臺北市東園社區公共托育家園,台北市萬華區東園街73巷65號,萬華區,63000070,,,優,,,優
190,臺北市西園社區公共托育家園,台北市萬華區東園街73巷65號,萬華區,63000070,,,甲,,,甲
191,臺北市萬芳社區公共托育家園,台北市文山區萬和街1號,文山區,63000080,,,甲,,,甲
192,臺北市忠順社區公共托育家園,臺北市文山區興隆路4段109巷30弄6號,文山區,63000080,,,優,,,優
193,臺北市葫蘆社區公共托育家園,台北市士林區環河北路三段95號,士林區,63000110,,,優,,,甲
